"Vehicle Body Type","Crash Date (Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,"2014",,,"2015",,,"2016",,,"2017",,,"2018",,,"Total",,
,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,,"Involving A Pedestrian",,
,"Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total"

"Passenger Car",2325,23357,25682,2384,22785,25169,2258,22002,24260,2194,20662,22856,2065,18409,20474,1935,16478,18413,2037,15767,17804,2129,15379,17508,2380,15889,18269,2293,15664,17957,2367,15528,17895,2696,17114,19810,2912,18165,21077,2970,18303,21273,3119,17214,20333,36064,272716,308780
"Light Truck - Pickup",895,9959,10854,955,10029,10984,910,9672,10582,881,9426,10307,819,8250,9069,816,7665,8481,856,7395,8251,828,6962,7790,896,7105,8001,935,6931,7866,950,6974,7924,1002,7774,8776,1055,7660,8715,1121,7586,8707,1117,7535,8652,14036,120923,134959
"Light Truck - Utility",702,7132,7834,731,7444,8175,760,7556,8316,821,7396,8217,785,6531,7316,754,6189,6943,807,5990,6797,823,5964,6787,910,6208,7118,909,5925,6834,939,6076,7015,1053,6679,7732,1268,7302,8570,1355,7608,8963,1337,7590,8927,13954,101590,115544

"Light Truck - Van",456,3231,3687,450,3275,3725,448,2979,3427,406,2824,3230,360,2401,2761,347,2154,2501,363,2057,2420,343,1844,2187,342,1831,2173,334,1796,2130,371,1741,2112,354,1836,2190,397,2008,2405,322,1896,2218,338,1743,2081,5631,33616,39247
"Light Truck - Other",7,104,111,6,74,80,11,75,86,9,47,56,3,30,33,4,29,33,2,21,23,7,35,42,13,45,58,21,77,98,36,73,109,30,141,171,50,180,230,26,101,127,31,84,115,256,1116,1372
"Large Truck",348,4554,4902,358,4593,4951,339,4427,4766,349,4284,4633,326,3763,4089,271,2940,3211,302,3192,3494,345,3288,3633,314,3511,3825,362,3559,3921,321,3428,3749,370,3705,4075,416,4146,4562,409,4395,4804,471,4391,4862,5301,58176,63477
"Motorcycle",40,4081,4121,40,4642,4682,38,4925,4963,49,5257,5306,58,5351,5409,28,4575,4603,37,4614,4651,42,4727,4769,40,5073,5113,42,4758,4800,37,4668,4705,45,5086,5131,58,5409,5467,46,5339,5385,55,5060,5115,655,73565,74220

"Bus",82,197,279,77,203,280,89,216,305,61,220,281,72,179,251,66,155,221,73,178,251,70,175,245,78,175,253,72,210,282,79,157,236,78,185,263,55,179,234,42,192,234,54,180,234,1048,2801,3849
"Other/Unknown",401,858,1259,483,966,1449,492,897,1389,472,895,1367,449,809,1258,364,770,1134,435,736,1171,438,720,1158,440,710,1150,483,730,1213,437,768,1205,550,780,1330,588,866,1454,579,838,1417,667,886,1553,7278,12229,19507
"Total",5256,53473,58729,5484,54011,59495,5345,52749,58094,5242,51011,56253,4937,45723,50660,4585,40955,45540,4912,39950,44862,5025,39094,44119,5413,40547,45960,5451,39650,45101,5537,39413,44950,6178,43300,49478,6799,45915,52714,6870,46258,53128,7189,44683,51872,84223,676732,760955


