"Vehicle Body Type","Crash Date (Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,"2014",,,"2015",,,"2016",,,"2017",,,"2018",,,"Total",,
,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,,"Involving A Rollover",,
,"Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total"

"Passenger Car",5691,19991,25682,5774,19395,25169,5625,18635,24260,5299,17557,22856,4598,15876,20474,4137,14276,18413,3806,13998,17804,3671,13837,17508,3915,14354,18269,3634,14323,17957,3619,14276,17895,3931,15879,19810,4093,16984,21077,4103,17170,21273,3617,16716,20333,65513,243267,308780
"Light Truck - Pickup",3276,7578,10854,3459,7525,10984,3473,7109,10582,3304,7003,10307,2988,6081,9069,2766,5715,8481,2602,5649,8251,2383,5407,7790,2448,5553,8001,2302,5564,7866,2401,5523,7924,2494,6282,8776,2459,6256,8715,2362,6345,8707,2253,6399,8652,40970,93989,134959
"Light Truck - Utility",3148,4686,7834,3246,4929,8175,3239,5077,8316,3144,5073,8217,2738,4578,7316,2513,4430,6943,2474,4323,6797,2416,4371,6787,2483,4635,7118,2205,4629,6834,2261,4754,7015,2388,5344,7732,2584,5986,8570,2567,6396,8963,2410,6517,8927,39816,75728,115544

"Light Truck - Van",860,2827,3687,934,2791,3725,770,2657,3427,755,2475,3230,608,2153,2761,561,1940,2501,530,1890,2420,473,1714,2187,442,1731,2173,427,1703,2130,424,1688,2112,430,1760,2190,489,1916,2405,454,1764,2218,371,1710,2081,8528,30719,39247
"Light Truck - Other",26,85,111,23,57,80,20,66,86,10,46,56,9,24,33,8,25,33,4,19,23,14,28,42,6,52,58,19,79,98,17,92,109,35,136,171,70,160,230,35,92,127,39,76,115,335,1037,1372
"Large Truck",1002,3900,4902,1052,3899,4951,1039,3727,4766,994,3639,4633,819,3270,4089,635,2576,3211,712,2782,3494,728,2905,3633,839,2986,3825,796,3125,3921,793,2956,3749,782,3293,4075,989,3573,4562,964,3840,4804,961,3901,4862,13105,50372,63477
"Motorcycle",57,4064,4121,56,4626,4682,65,4898,4963,61,5245,5306,42,5367,5409,45,4558,4603,35,4616,4651,49,4720,4769,54,5059,5113,52,4748,4800,60,4645,4705,60,5071,5131,84,5383,5467,72,5313,5385,67,5048,5115,859,73361,74220

"Bus",17,262,279,24,256,280,24,281,305,21,260,281,25,226,251,17,204,221,16,235,251,21,224,245,20,233,253,23,259,282,20,216,236,20,243,263,12,222,234,25,209,234,20,214,234,305,3544,3849
"Other/Unknown",247,1012,1259,292,1157,1449,289,1100,1389,302,1065,1367,273,985,1258,274,860,1134,255,916,1171,273,885,1158,267,883,1150,275,938,1213,294,911,1205,297,1033,1330,327,1127,1454,296,1121,1417,297,1256,1553,4258,15249,19507
"Total",14324,44405,58729,14860,44635,59495,14544,43550,58094,13890,42363,56253,12100,38560,50660,10956,34584,45540,10434,34428,44862,10028,34091,44119,10474,35486,45960,9733,35368,45101,9889,35061,44950,10437,39041,49478,11107,41607,52714,10878,42250,53128,10035,41837,51872,173689,587266,760955


