"Age Group 1 by Crash Time (Hour)",,"Crash Date (Year)",,,,,,,,,,,,,,,
,,"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Total"
"0-15","0:00am-0:59am",53,71,58,48,44,34,24,26,44,25,24,35,36,30,43,595
,"1:00am-1:59am",55,53,42,31,29,24,33,19,24,21,18,25,26,14,19,433
,"2:00am-2:59am",36,42,31,32,35,21,19,21,13,17,27,24,18,22,17,375
,"3:00am-3:59am",30,32,29,33,20,8,22,17,19,10,10,23,34,23,15,325
,"4:00am-4:59am",18,23,23,33,23,18,19,17,18,18,14,13,17,18,9,281
,"5:00am-5:59am",24,34,24,19,22,18,13,11,12,18,16,28,15,22,18,294
,"6:00am-6:59am",42,56,51,31,35,42,26,30,26,32,30,36,23,32,43,535
,"7:00am-7:59am",110,101,90,93,67,66,82,49,63,63,56,62,73,59,57,1091
,"8:00am-8:59am",72,67,58,77,45,51,40,36,49,35,45,41,52,43,40,751
,"9:00am-9:59am",65,49,64,39,35,41,33,35,30,38,34,30,35,32,30,590
,"10:00am-10:59am",90,63,74,35,52,39,49,32,44,46,31,32,40,36,30,693
,"11:00am-11:59am",90,61,85,109,57,58,50,35,49,38,41,39,52,44,51,859

,"12:00pm-12:59pm",137,91,87,90,66,58,53,66,65,52,49,68,49,63,50,1044
,"1:00pm-1:59pm",119,115,117,93,81,85,74,62,56,52,55,68,60,71,55,1163
,"2:00pm-2:59pm",158,133,127,145,82,89,81,82,82,74,61,69,77,64,65,1389
,"3:00pm-3:59pm",199,202,193,171,120,109,121,114,106,102,96,106,116,108,88,1951
,"4:00pm-4:59pm",196,204,180,145,140,128,120,127,125,127,97,101,113,121,91,2015
,"5:00pm-5:59pm",244,219,183,156,115,142,117,117,89,107,104,110,119,110,91,2023
,"6:00pm-6:59pm",217,158,158,141,134,137,130,108,114,127,96,89,131,93,78,1911
,"7:00pm-7:59pm",192,175,144,127,106,108,97,84,91,96,76,72,92,83,92,1635
,"8:00pm-8:59pm",145,137,118,130,106,96,87,74,81,84,92,101,95,83,69,1498
,"9:00pm-9:59pm",125,112,116,98,97,77,56,80,74,72,69,70,79,84,63,1272
,"10:00pm-10:59pm",118,100,68,73,64,50,48,55,54,46,68,68,45,47,37,941
,"11:00pm-11:59pm",74,55,51,80,59,39,33,39,38,24,43,27,39,41,42,684
,"Unknown Hours",13,7,6,5,4,7,4,4,6,1,3,8,7,4,3,82

,"Total",2622,2360,2177,2034,1638,1545,1431,1340,1372,1325,1255,1345,1443,1347,1196,24430
"16-24","0:00am-0:59am",632,650,629,610,512,475,412,409,384,376,401,385,421,382,310,6988
,"1:00am-1:59am",639,720,732,675,532,473,456,480,427,410,365,414,408,353,386,7470
,"2:00am-2:59am",741,727,736,751,645,615,535,558,550,474,403,399,445,375,372,8326
,"3:00am-3:59am",517,498,534,565,452,432,407,383,431,326,299,356,357,316,256,6129
,"4:00am-4:59am",387,370,415,338,332,290,271,300,273,251,263,253,258,234,208,4443
,"5:00am-5:59am",296,349,317,333,274,232,223,239,194,209,233,245,264,236,178,3822
,"6:00am-6:59am",340,326,347,308,252,229,203,216,259,233,199,247,266,234,260,3919
,"7:00am-7:59am",380,348,351,322,281,179,244,205,202,210,220,244,247,242,227,3902
,"8:00am-8:59am",248,227,214,203,181,167,158,152,131,127,143,169,150,128,159,2557
