"Vehicle Body Type","Crash Date (Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,"2014",,,"2015",,,"2016",,,"2017",,,"2018",,,"Total",,
,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,,"Involving A Distracted Driver",,

,"Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total"
"Passenger Car",2864,22818,25682,2604,22565,25169,3157,21103,24260,3126,19730,22856,3005,17469,20474,2883,15530,18413,1832,15972,17804,2008,15500,17508,1882,16387,18269,1862,16095,17957,1901,15994,17895,2106,17704,19810,2095,18982,21077,2059,19214,21273,1733,18600,20333,35117,273663,308780
"Light Truck - Pickup",1365,9489,10854,1329,9655,10984,1718,8864,10582,1631,8676,10307,1623,7446,9069,1459,7022,8481,961,7290,8251,846,6944,7790,936,7065,8001,850,7016,7866,895,7029,7924,972,7804,8776,946,7769,8715,842,7865,8707,785,7867,8652,17158,117801,134959

"Light Truck - Utility",931,6903,7834,905,7270,8175,1239,7077,8316,1270,6947,8217,1230,6086,7316,1153,5790,6943,725,6072,6797,789,5998,6787,809,6309,7118,762,6072,6834,769,6246,7015,878,6854,7732,949,7621,8570,962,8001,8963,775,8152,8927,14146,101398,115544
"Light Truck - Van",460,3227,3687,409,3316,3725,470,2957,3427,455,2775,3230,427,2334,2761,377,2124,2501,270,2150,2420,246,1941,2187,257,1916,2173,236,1894,2130,257,1855,2112,281,1909,2190,247,2158,2405,236,1982,2218,200,1881,2081,4828,34419,39247
"Light Truck - Other",13,98,111,15,65,80,20,66,86,6,50,56,6,27,33,6,27,33,1,22,23,5,37,42,7,51,58,12,86,98,14,95,109,23,148,171,22,208,230,7,120,127,5,110,115,162,1210,1372
"Large Truck",808,4094,4902,750,4201,4951,861,3905,4766,858,3775,4633,769,3320,4089,641,2570,3211,480,3014,3494,476,3157,3633,543,3282,3825,520,3401,3921,487,3262,3749,625,3450,4075,579,3983,4562,570,4234,4804,590,4272,4862,9557,53920,63477

"Motorcycle",420,3701,4121,428,4254,4682,699,4264,4963,743,4563,5306,873,4536,5409,788,3815,4603,418,4233,4651,448,4321,4769,450,4663,5113,423,4377,4800,447,4258,4705,447,4684,5131,445,5022,5467,412,4973,5385,377,4738,5115,7818,66402,74220
"Bus",40,239,279,33,247,280,52,253,305,42,239,281,43,208,251,42,179,221,37,214,251,32,213,245,33,220,253,36,246,282,24,212,236,29,234,263,26,208,234,18,216,234,27,207,234,514,3335,3849
"Other/Unknown",92,1167,1259,85,1364,1449,129,1260,1389,144,1223,1367,144,1114,1258,134,1000,1134,94,1077,1171,76,1082,1158,66,1084,1150,77,1136,1213,85,1120,1205,96,1234,1330,78,1376,1454,85,1332,1417,70,1483,1553,1455,18052,19507
"Total",6993,51736,58729,6558,52937,59495,8345,49749,58094,8275,47978,56253,8120,42540,50660,7483,38057,45540,4818,40044,44862,4926,39193,44119,4983,40977,45960,4778,40323,45101,4879,40071,44950,5457,44021,49478,5387,47327,52714,5191,47937,53128,4562,47310,51872,90755,670200,760955


