"Vehicle Body Type","Crash Date (Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,"2014",,,"2015",,,"2016",,,"2017",,,"2018",,,"Total",,
,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,,"Involving A Drowsy Driver",,
,"Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total"

"Passenger Car",601,25081,25682,519,24650,25169,471,23789,24260,417,22439,22856,369,20105,20474,347,18066,18413,377,17427,17804,397,17111,17508,390,17879,18269,360,17597,17957,416,17479,17895,389,19421,19810,387,20690,21077,384,20889,21273,398,19935,20333,6222,302558,308780
"Light Truck - Pickup",362,10492,10854,329,10655,10984,323,10259,10582,292,10015,10307,229,8840,9069,245,8236,8481,247,8004,8251,229,7561,7790,241,7760,8001,236,7630,7866,241,7683,7924,244,8532,8776,226,8489,8715,226,8481,8707,217,8435,8652,3887,131072,134959
"Light Truck - Utility",288,7546,7834,259,7916,8175,248,8068,8316,245,7972,8217,178,7138,7316,201,6742,6943,208,6589,6797,181,6606,6787,190,6928,7118,184,6650,6834,197,6818,7015,213,7519,7732,208,8362,8570,222,8741,8963,217,8710,8927,3239,112305,115544
"Light Truck - Van",107,3580,3687,112,3613,3725,99,3328,3427,88,3142,3230,70,2691,2761,61,2440,2501,69,2351,2420,52,2135,2187,54,2119,2173,61,2069,2130,69,2043,2112,70,2120,2190,60,2345,2405,60,2158,2218,46,2035,2081,1078,38169,39247

"Light Truck - Other",5,106,111,0,80,80,3,83,86,1,55,56,2,31,33,0,33,33,2,21,23,1,41,42,1,57,58,4,94,98,3,106,109,2,169,171,8,222,230,3,124,127,5,110,115,40,1332,1372
"Large Truck",158,4744,4902,189,4762,4951,161,4605,4766,180,4453,4633,137,3952,4089,104,3107,3211,128,3366,3494,139,3494,3633,143,3682,3825,132,3789,3921,143,3606,3749,132,3943,4075,138,4424,4562,144,4660,4804,122,4740,4862,2150,61327,63477
"Motorcycle",27,4094,4121,27,4655,4682,12,4951,4963,19,5287,5306,28,5381,5409,19,4584,4603,24,4627,4651,28,4741,4769,21,5092,5113,18,4782,4800,23,4682,4705,21,5110,5131,19,5448,5467,19,5366,5385,15,5100,5115,320,73900,74220
"Bus",4,275,279,3,277,280,6,299,305,8,273,281,2,249,251,2,219,221,3,248,251,5,240,245,3,250,253,4,278,282,4,232,236,5,258,263,4,230,234,2,232,234,0,234,234,55,3794,3849
"Other/Unknown",7,1252,1259,6,1443,1449,5,1384,1389,10,1357,1367,3,1255,1258,4,1130,1134,8,1163,1171,7,1151,1158,8,1142,1150,5,1208,1213,4,1201,1205,1,1329,1330,2,1452,1454,5,1412,1417,7,1546,1553,82,19425,19507

"Total",1559,57170,58729,1444,58051,59495,1328,56766,58094,1260,54993,56253,1018,49642,50660,983,44557,45540,1066,43796,44862,1039,43080,44119,1051,44909,45960,1004,44097,45101,1100,43850,44950,1077,48401,49478,1052,51662,52714,1065,52063,53128,1027,50845,51872,17073,743882,760955


