"Vehicle Body Type","Crash Date (Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,"2014",,,"2015",,,"2016",,,"2017",,,"2018",,,"Total",,
,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,,"Involving Speeding",,
,"Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total"

"Passenger Car",7812,17870,25682,7735,17434,25169,7602,16658,24260,7234,15622,22856,6261,14213,20474,5873,12540,18413,5682,12122,17804,5332,12176,17508,5679,12590,18269,5334,12623,17957,5161,12734,17895,5609,14201,19810,6039,15038,21077,5958,15315,21273,5522,14811,20333,92833,215947,308780
"Light Truck - Pickup",2891,7963,10854,3001,7983,10984,2972,7610,10582,2907,7400,10307,2509,6560,9069,2294,6187,8481,2324,5927,8251,2181,5609,7790,2136,5865,8001,2104,5762,7866,1981,5943,7924,2104,6672,8776,2072,6643,8715,2026,6681,8707,1977,6675,8652,35479,99480,134959
"Light Truck - Utility",2194,5640,7834,2296,5879,8175,2400,5916,8316,2350,5867,8217,2100,5216,7316,2019,4924,6943,1964,4833,6797,1883,4904,6787,1943,5175,7118,1797,5037,6834,1821,5194,7015,1959,5773,7732,2130,6440,8570,2193,6770,8963,2123,6804,8927,31172,84372,115544

"Light Truck - Van",761,2926,3687,785,2940,3725,699,2728,3427,727,2503,3230,587,2174,2761,549,1952,2501,545,1875,2420,491,1696,2187,473,1700,2173,477,1653,2130,442,1670,2112,432,1758,2190,501,1904,2405,431,1787,2218,419,1662,2081,8319,30928,39247
"Light Truck - Other",33,78,111,16,64,80,18,68,86,8,48,56,5,28,33,6,27,33,6,17,23,9,33,42,7,51,58,20,78,98,19,90,109,35,136,171,57,173,230,26,101,127,31,84,115,296,1076,1372
"Large Truck",1109,3793,4902,1058,3893,4951,1086,3680,4766,1096,3537,4633,957,3132,4089,704,2507,3211,817,2677,3494,809,2824,3633,911,2914,3825,938,2983,3921,828,2921,3749,939,3136,4075,965,3597,4562,966,3838,4804,980,3882,4862,14163,49314,63477
"Motorcycle",1637,2484,4121,1821,2861,4682,1980,2983,4963,2044,3262,5306,2071,3338,5409,1766,2837,4603,1801,2850,4651,1841,2928,4769,1908,3205,5113,1791,3009,4800,1674,3031,4705,1826,3305,5131,1947,3520,5467,1859,3526,5385,1710,3405,5115,27676,46544,74220

"Bus",48,231,279,41,239,280,57,248,305,53,228,281,32,219,251,42,179,221,41,210,251,45,200,245,46,207,253,43,239,282,37,199,236,48,215,263,49,185,234,47,187,234,43,191,234,672,3177,3849
"Other/Unknown",268,991,1259,270,1179,1449,257,1132,1389,293,1074,1367,261,997,1258,267,867,1134,270,901,1171,245,913,1158,248,902,1150,260,953,1213,218,987,1205,249,1081,1330,256,1198,1454,261,1156,1417,258,1295,1553,3881,15626,19507
"Total",16753,41976,58729,17023,42472,59495,17071,41023,58094,16712,39541,56253,14783,35877,50660,13520,32020,45540,13450,31412,44862,12836,31283,44119,13351,32609,45960,12764,32337,45101,12181,32769,44950,13201,36277,49478,14016,38698,52714,13767,39361,53128,13063,38809,51872,214491,546464,760955


