"Vehicle Body Type","Crash Date (Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,"2014",,,"2015",,,"2016",,,"2017",,,"2018",,,"Total",,
,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,,"Involving A Young Driver (Aged 15-19)",,

,"Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total"
"Passenger Car",5447,20235,25682,4956,20213,25169,4673,19587,24260,4395,18461,22856,3593,16881,20474,3117,15296,18413,2756,15048,17804,2522,14986,17508,2533,15736,18269,2284,15673,17957,2302,15593,17895,2645,17165,19810,2675,18402,21077,2759,18514,21273,2494,17839,20333,49151,259629,308780
"Light Truck - Pickup",1727,9127,10854,1658,9326,10984,1577,9005,10582,1543,8764,10307,1242,7827,9069,1119,7362,8481,965,7286,8251,851,6939,7790,885,7116,8001,828,7038,7866,850,7074,7924,963,7813,8776,968,7747,8715,907,7800,8707,862,7790,8652,16945,118014,134959

"Light Truck - Utility",1228,6606,7834,1235,6940,8175,1286,7030,8316,1265,6952,8217,978,6338,7316,919,6024,6943,964,5833,6797,846,5941,6787,807,6311,7118,726,6108,6834,735,6280,7015,849,6883,7732,927,7643,8570,973,7990,8963,945,7982,8927,14683,100861,115544
"Light Truck - Van",427,3260,3687,370,3355,3725,407,3020,3427,368,2862,3230,271,2490,2761,247,2254,2501,203,2217,2420,170,2017,2187,143,2030,2173,148,1982,2130,165,1947,2112,193,1997,2190,153,2252,2405,157,2061,2218,143,1938,2081,3565,35682,39247
"Light Truck - Other",10,101,111,7,73,80,11,75,86,6,50,56,1,32,33,3,30,33,3,20,23,5,37,42,5,53,58,7,91,98,6,103,109,20,151,171,23,207,230,6,121,127,9,106,115,122,1250,1372
"Large Truck",416,4486,4902,383,4568,4951,368,4398,4766,423,4210,4633,276,3813,4089,224,2987,3211,231,3263,3494,227,3406,3633,216,3609,3825,256,3665,3921,216,3533,3749,257,3818,4075,242,4320,4562,287,4517,4804,288,4574,4862,4310,59167,63477

"Motorcycle",451,3670,4121,493,4189,4682,467,4496,4963,540,4766,5306,517,4892,5409,364,4239,4603,365,4286,4651,337,4432,4769,361,4752,5113,345,4455,4800,369,4336,4705,393,4738,5131,410,5057,5467,409,4976,5385,371,4744,5115,6192,68028,74220
"Bus",28,251,279,17,263,280,28,277,305,28,253,281,18,233,251,19,202,221,18,233,251,13,232,245,14,239,253,12,270,282,10,226,236,16,247,263,8,226,234,17,217,234,12,222,234,258,3591,3849
"Other/Unknown",143,1116,1259,153,1296,1449,152,1237,1389,148,1219,1367,129,1129,1258,110,1024,1134,90,1081,1171,88,1070,1158,76,1074,1150,100,1113,1213,76,1129,1205,79,1251,1330,73,1381,1454,85,1332,1417,75,1478,1553,1577,17930,19507
"Total",9877,48852,58729,9272,50223,59495,8969,49125,58094,8716,47537,56253,7025,43635,50660,6122,39418,45540,5595,39267,44862,5059,39060,44119,5040,40920,45960,4706,40395,45101,4729,40221,44950,5415,44063,49478,5479,47235,52714,5600,47528,53128,5199,46673,51872,96803,664152,760955


